           2015 American Journal of Political Science Reviewers
Last Name        First Name   Institutional Affiliation
Jensenius     Francesca Norwegian Institute of International Affairs
Jentzsch      Corina    Leiden University
Jerit         Jennifer  Stony Brook University
Jervis        Robert    Columbia U
Jessee        Stephen   University of Texas at Austin
Jewitt        Caitlin   Virginia Polytechnic Institute and State University
Jha           Saumitra  Stanford Graduate School of Business
Jia           Nan       University of Southern California
Jillson       Calvin    Southern Methodist University
Joesten       Danielle  California State University Sacramento
                             16

John      Ora         UW Milwaukee
Johns     Robert      University of Essex
Johnson   James       University of Rochester
Johnson   Jesse       University of Kentucky
Johnson   Noel        George Mason University and Mercatus Center
Johnston  Alison      Oregon State University
Johnston  Christopher Duke University
Jolly     Seth        Syracuse University
Jones     Bradford    University of California Davis
Jones     Calvert     CUNY-City College
Jones     Zachary     Pennsylvania State University
Joshi     Madhav      University of Notre Dame
Joslyn    Mark        University of Kansas
Joyce     Kyle        UC Davis
Juenke    Eric        Michigan State University
Kaheny    Erin        University of Wisconsin-Milwaukee
Kahler    Miles       American University
Kalkan    Kerem       Eastern Kentucky
Kam       Cindy       Vanderbilt University
Kang      Alice       University of Nebraska-Lincoln
Kaplan    Cynthia     UCSB
Karakoc   Ekrem       Binghamton University, SUNY
Karim     Sabrina     Emory University
Karol     David       University of Maryland
Karpowitz Christopher Brigham Young University
Kasara    Kimuli      Columbia University
Kastellec Jonathan    Princeton University
Kastner   Scott       University of Maryland, College Park
Kathman   Jacob       University at Buffalo - The State University of New York
Kayser    Mark        Hertie School of Governance
Kedar     Orit        The Hebrew University of Jerusalem
Keefer    Philip      Inter-American Development Bank
Keele     Luke        Penn State University
Keiser    Lael        University of Missouri
Keith     Linda       UTD
Kelley    Christopher Miami University
Kelley    Judith      Duke University
Kellstedt Paul        Texas A&M University
Kelly     Jason       Virginia Tech
Kelly     Nathan      University of Tennessee
Kennedy   Ryan        University of Houston
Kenney    Patrick     Arizona State University
Kern      Holger      Florida State University
                            17

Kerr        Nicholas    University of Alabama
Khanna      Kabir       Princeton University
Kilby       Christopher Villanova University
Kim         Dongwook    Australian National University
Kim         Henry       University of California Santa Barbara
Kim         Moonhawk    University of Colorado at Boulder
Kim         Youngwan    Hankuk University of Foreign Studies
Kimbrough   Erik        Simon Fraser University
King        Elisabeth   New York University-Steinhardt
King        Gary        Harvard University
Kinne       Brandon     University of California, Davis
Kirkland    Justin      University of Houston
Kirkpatrick Jennet      Arizona State University
Kirshner    Alexander   Duke University
Kittilson   Miki        Arizona State University
Klaas       Brian       University of Oxford
Klandermans Bert        VU-University
Klar        Samara      University of Arizona
Klasnja     Marko       Georgetown University
Klein       Richard     University of Florida
Kleinberg   Katja       SUNY Binghamton
Klingler    Jonathan    Institute for Advanced Study in Toulouse
Klofstad    Casey       University of Miami
Klor        Esteban     The Hebrew University of Jerusalem
Koch        Michael     Texas A&M
Koga        Jun         University of Strathclyde
Kogan       Vladimir    Ohio State University
Kollman     Kenneth     University of Michigan
Kolotilin   Anton       University of New South Wales
Konisky     David       Indiana University
Kono        Daniel      University of California, Davis
Koremenos   Barbara     UCLA
Kornreich   Yoel        University of British Columbia
Koter       Dominika    Colgate University
Krain       Matthew     College of Wooster
Kramon      Eric        George Washington University
Krasnow     Max         Harvard University
Krause      George      University of Pittsburgh
Kreitzer    Rebecca     University of Iowa
Kreps       Sarah       Cornell University
Kreutz      Joakim      Uppsala University
Kriesi      Hanspeter   University of Zurich
Krimmel     Katherine   Boston University
                              18

